Data,Hora,Serviço,Dispositivo,Status,Categoria
2024-04-13,11:17:00,ping,NET.S*161,up,Setor
2024-04-13,11:17:00,ping,NET.S*02,up,Setor
2024-04-13,11:20:00,ping,PTP DEPOSITO/EDILEIA,up,PTP
2024-04-13,11:20:00,ping,PTP EDILEIA/FRADE,down,PTP
2024-04-13,11:20:00,ping,PTP EDILEIA/DEPOSITO,down,PTP
2024-04-13,11:20:00,ping,NET.S*150,down,Setor
2024-04-13,11:20:00,ping,PTP EDILEIA/FRADE,up,PTP
2024-04-13,11:20:00,ping,PTP EDILEIA/DEPOSITO,up,PTP
2024-04-13,11:28:00,ping,NET.S*150,up,Setor
2024-04-13,11:28:00,ping,NET.S*150,down,Setor
2024-04-13,11:45:00,ping,NET.S*150,up,Setor
2024-04-13,11:45:00,ping,PTP FRADE/EDILEIA,down,PTP
2024-04-13,11:55:00,ping,PTP FRADE/EDILEIA,up,PTP
2024-04-13,11:55:00,ping,NET.S*64,down,Setor
2024-04-13,11:55:00,ping,PTP FRADE/EDILEIA,down,PTP
2024-04-13,11:56:00,ping,NET.S*64,up,Setor
2024-04-13,11:56:00,ping,NET.S*150,down,Setor
2024-04-13,11:57:00,ping,PTP EDILEIA/DEPOSITO,down,PTP
2024-04-13,11:57:00,ping,PTP EDILEIA/DEPOSITO,up,PTP
2024-04-13,12:03:00,ping,NET.S*150,up,Setor
2024-04-13,12:03:00,ping,NET.S*161,down,Setor
2024-04-13,12:14:00,ping,NET.S*161,up,Setor
2024-04-13,12:14:00,ping,PTP DEPOSITO/EDILEIA,down,PTP
2024-04-13,12:14:00,ping,NET.S*14,down,Setor
2024-04-13,12:14:00,ping,NET.S*14,up,Setor
2024-04-13,12:15:00,ping,PTP DEPOSITO/EDILEIA,up,PTP
2024-04-13,12:16:00,ping,NET.S*150,down,Setor
2024-04-13,12:16:00,ping,NET.S*150,up,Setor
2024-04-13,12:16:00,ping,NET.S*142,down,Setor
2024-04-13,12:16:00,ping,NET.S*14,down,Setor
2024-04-13,12:16:00,ping,PTP DEPOSITO/EDILEIA,down,PTP
2024-04-13,12:16:00,ping,NET.S*142,up,Setor
2024-04-13,12:16:00,ping,NET.S*14,up,Setor
2024-04-13,12:16:00,ping,PTP DEPOSITO/EDILEIA,up,PTP
2024-04-13,12:17:00,ping,NET.S*64,down,Setor
2024-04-13,12:17:00,ping,NET.S*150,down,Setor
2024-04-13,12:17:00,ping,NET.S*64,up,Setor
2024-04-13,12:18:00,ping,NET.S*150,up,Setor
2024-04-13,12:18:00,ping,NET.S*142,down,Setor
2024-04-13,12:18:00,ping,NET.S*14,down,Setor
2024-04-13,12:18:00,ping,PTP DEPOSITO/EDILEIA,down,PTP
2024-04-13,12:18:00,ping,NET.S*142,up,Setor
2024-04-13,12:19:00,ping,PTP DEPOSITO/EDILEIA,up,PTP
2024-04-13,15:05:00,ping,NET.S*14,up,Setor
2024-04-13,15:06:00,ping,NET.S*56,down,Setor
2024-04-13,19:52:00,ping,NET.S*56,up,Setor
2024-04-13,19:52:00,ping,NET.S*142,down,Setor
2024-04-13,19:52:00,ping,PTP DEPOSITO/EDILEIA,down,PTP
2024-04-13,19:52:00,ping,NET.S*142,up,Setor
2024-04-13,19:52:00,ping,NET.S*14,down,Setor
2024-04-13,19:52:00,ping,PTP DEPOSITO/EDILEIA,up,PTP
2024-04-13,19:53:00,ping,NET.S*14,up,Setor
2024-04-13,19:53:00,ping,PTP EDILEIA/FRADE,down,PTP
2024-04-13,19:53:00,ping,NET.S*03,down,Setor
2024-04-13,19:53:00,ping,NET.S*03,up,Setor
2024-04-13,19:57:00,ping,PTP EDILEIA/FRADE,up,PTP
2024-04-13,19:57:00,ping,NET.S*02,down,Setor
2024-04-13,19:57:00,ping,NET.S*165,down,Setor
2024-04-13,19:57:00,ping,NET.S*02,up,Setor
2024-04-13,19:58:00,ping,NET.S*165,up,Setor
2024-04-13,19:58:00,ping,NET.S*150,down,Setor
2024-04-13,20:06:00,ping,NET.S*150,up,Setor
2024-04-13,20:07:00,ping,NET.S*64,down,Setor
2024-04-13,20:24:00,ping,NET.S*64,up,Setor
2024-04-13,20:24:00,ping,PTP EDILEIA/DEPOSITO,down,PTP
2024-04-13,20:27:00,ping,PTP EDILEIA/DEPOSITO,up,PTP
2024-04-13,20:27:00,ping,NET.S*150,down,Setor
2024-04-13,20:37:00,ping,NET.S*150,up,Setor
2024-04-13,20:37:00,ping,NET.S*150,down,Setor
2024-04-13,20:50:00,ping,NET.S*150,up,Setor
2024-04-13,20:51:00,ping,NET.S*64,down,Setor
2024-04-13,21:00:00,ping,NET.S*64,up,Setor
2024-04-13,21:01:00,ping,PTP EDILEIA/DEPOSITO,down,PTP
2024-04-13,21:01:00,ping,NET.S*150,down,Setor
2024-04-13,21:01:00,ping,PTP EDILEIA/DEPOSITO,up,PTP
2024-04-13,21:05:00,ping,NET.S*150,up,Setor
2024-04-13,21:05:00,ping,PTP EDILEIA/DEPOSITO,down,PTP
2024-04-13,21:06:00,ping,PTP EDILEIA/DEPOSITO,up,PTP
2024-04-13,21:06:00,ping,NET.S*03,down,Setor
2024-04-13,21:07:00,ping,PTP EDILEIA/FRADE,down,PTP
2024-04-13,21:07:00,ping,NET.S*03,up,Setor
2024-04-13,21:11:00,ping,PTP EDILEIA/FRADE,up,PTP
2024-04-13,21:11:00,ping,NET.S*142,down,Setor
2024-04-13,21:12:00,ping,NET.S*142,up,Setor
2024-04-13,21:12:00,ping,NET.S*64,down,Setor
2024-04-13,21:25:00,ping,NET.S*64,up,Setor
2024-04-13,21:25:00,ping,PTP EDILEIA/FRADE,down,PTP
2024-04-13,21:26:00,ping,NET.S*03,down,Setor
2024-04-13,21:26:00,ping,NET.S*03,up,Setor
2024-04-13,21:40:00,ping,PTP EDILEIA/FRADE,up,PTP
2024-04-13,21:40:00,ping,NET.S*37,down,Setor
2024-04-13,21:40:00,ping,NET.S*37,up,Setor
2024-04-13,21:40:00,ping,PTP FRADE/EDILEIA,down,PTP
2024-04-13,21:42:00,ping,PTP FRADE/EDILEIA,up,PTP
2024-04-13,21:43:00,ping,NET.S*165,down,Setor
2024-04-13,21:52:00,ping,NET.S*165,up,Setor
2024-04-13,21:52:00,ping,NET.S*02,down,Setor
2024-04-13,21:53:00,ping,NET.S*165,down,Setor
2024-04-13,21:53:00,ping,NET.S*02,up,Setor
2024-04-13,22:23:00,ping,NET.S*165,up,Setor
2024-04-13,22:23:00,ping,NET.S*161,down,Setor
2024-04-13,22:23:00,ping,NET.S*37,down,Setor
2024-04-13,22:23:00,ping,NET.S*37,up,Setor
2024-04-13,22:23:00,ping,NET.S*161,up,Setor
2024-04-13,22:23:00,ping,NET.S*142,down,Setor
2024-04-13,22:26:00,ping,NET.S*142,up,Setor
2024-04-13,22:26:00,ping,PTP EDILEIA/FRADE,down,PTP
2024-04-13,22:27:00,ping,PTP EDILEIA/DEPOSITO,down,PTP
2024-04-13,22:27:00,ping,PTP EDILEIA/DEPOSITO,up,PTP
2024-04-13,22:27:00,ping,PTP EDILEIA/FRADE,up,PTP
2024-04-13,22:28:00,ping,NET.S*64,down,Setor
2024-04-13,22:33:00,ping,NET.S*64,up,Setor
2024-04-13,22:33:00,ping,NET.S*03,down,Setor
2024-04-13,22:33:00,ping,PTP EDILEIA/FRADE,down,PTP
2024-04-13,22:33:00,ping,NET.S*03,up,Setor
2024-04-13,22:36:00,ping,PTP EDILEIA/FRADE,up,PTP
2024-04-13,22:37:00,ping,NET.S*03,down,Setor
2024-04-13,22:48:00,ping,NET.S*03,up,Setor
2024-04-13,22:48:00,ping,PTP FRADE/EDILEIA,down,PTP
2024-04-13,22:55:00,ping,PTP FRADE/EDILEIA,up,PTP
2024-04-13,22:55:00,ping,NET.S*161,down,Setor
2024-04-13,22:56:00,ping,NET.S*161,up,Setor
2024-04-13,22:56:00,ping,PTP FRADE/EDILEIA,down,PTP
2024-04-13,22:56:00,ping,NET.S*02,down,Setor
2024-04-13,22:56:00,ping,NET.S*165,down,Setor
2024-04-13,22:56:00,ping,PTP FRADE/EDILEIA,up,PTP
2024-04-13,22:56:00,ping,NET.S*02,up,Setor
2024-04-13,22:59:00,ping,NET.S*165,up,Setor
2024-04-13,22:59:00,ping,NET.S*64,down,Setor
2024-04-13,23:00:00,ping,NET.S*37,down,Setor
2024-04-13,23:00:00,ping,PTP FRADE/EDILEIA,down,PTP
2024-04-13,23:00:00,ping,NET.S*37,up,Setor
2024-04-13,23:00:00,ping,NET.S*150,down,Setor
2024-04-13,23:00:00,ping,NET.S*64,up,Setor
2024-04-13,23:00:00,ping,PTP FRADE/EDILEIA,up,PTP
2024-04-13,23:02:00,ping,NET.S*150,up,Setor
2024-04-13,23:02:00,ping,NET.S*03,down,Setor
2024-04-13,23:08:00,ping,NET.S*03,up,Setor
2024-04-13,23:09:00,ping,NET.S*37,down,Setor
2024-04-13,23:09:00,ping,NET.S*142,down,Setor
2024-04-13,23:09:00,ping,NET.S*37,up,Setor
2024-04-13,23:09:00,ping,NET.S*142,up,Setor
2024-04-13,23:09:00,ping,NET.S*161,down,Setor
2024-04-13,23:22:00,ping,NET.S*161,up,Setor
2024-04-13,23:22:00,ping,NET.S*150,down,Setor
2024-04-13,23:23:00,ping,NET.S*150,up,Setor
2024-04-13,23:23:00,ping,PTP FRADE/EDILEIA,down,PTP
2024-04-13,23:25:00,ping,PTP FRADE/EDILEIA,up,PTP
2024-04-13,23:25:00,ping,NET.S*02,down,Setor
2024-04-13,23:25:00,ping,NET.S*165,down,Setor
2024-04-13,23:25:00,ping,NET.S*02,up,Setor
2024-04-13,23:26:00,ping,NET.S*165,up,Setor
2024-04-13,23:26:00,ping,NET.S*37,down,Setor
2024-04-13,23:26:00,ping,NET.S*142,down,Setor
2024-04-13,23:26:00,ping,NET.S*37,up,Setor
2024-04-13,23:28:00,ping,NET.S*142,up,Setor
2024-04-13,23:29:00,ping,NET.S*64,down,Setor
2024-04-13,23:34:00,ping,NET.S*64,up,Setor
2024-04-13,23:34:00,ping,NET.S*37,down,Setor
2024-04-13,23:34:00,ping,NET.S*142,down,Setor
2024-04-13,23:34:00,ping,NET.S*14,down,Setor
2024-04-13,23:34:00,ping,NET.S*161,down,Setor
2024-04-13,23:34:00,ping,PTP DEPOSITO/EDILEIA,down,PTP
2024-04-13,23:34:00,ping,PTP EDILEIA/FRADE,down,PTP
2024-04-13,23:34:00,ping,PTP EDILEIA/DEPOSITO,down,PTP
2024-04-13,23:34:00,ping,PTP FRADE/EDILEIA,down,PTP
2024-04-13,23:34:00,ping,NET.S*02,down,Setor
2024-04-13,23:34:00,ping,NET.S*165,down,Setor
2024-04-13,23:34:00,ping,NET.S*03,down,Setor
2024-04-13,23:35:00,ping,NET.S*150,down,Setor
2024-04-13,23:36:00,ping,NET.S*64,down,Setor
2024-04-13,23:36:00,ping,NET.S*03,up,Setor
2024-04-13,23:36:00,ping,NET.S*142,up,Setor
2024-04-13,23:36:00,ping,NET.S*150,up,Setor
2024-04-13,23:36:00,ping,NET.S*161,up,Setor
2024-04-13,23:36:00,ping,NET.S*02,up,Setor
2024-04-13,23:36:00,ping,PTP EDILEIA/FRADE,up,PTP
2024-04-13,23:36:00,ping,NET.S*14,up,Setor
2024-04-13,23:36:00,ping,PTP DEPOSITO/EDILEIA,up,PTP
2024-04-13,23:36:00,ping,NET.S*165,up,Setor
2024-04-13,23:36:00,ping,PTP FRADE/EDILEIA,up,PTP
2024-04-13,23:36:00,ping,NET.S*03,down,Setor
2024-04-13,23:36:00,ping,NET.S*142,down,Setor
2024-04-13,23:36:00,ping,NET.S*150,down,Setor
2024-04-13,23:36:00,ping,NET.S*02,down,Setor
2024-04-13,23:36:00,ping,PTP DEPOSITO/EDILEIA,down,PTP
2024-04-13,23:36:00,ping,NET.S*14,down,Setor
2024-04-13,23:36:00,ping,NET.S*161,down,Setor
2024-04-13,23:36:00,ping,NET.S*165,down,Setor
2024-04-13,23:36:00,ping,NET.S*37,down,Setor
2024-04-13,23:36:00,ping,PTP EDILEIA/DEPOSITO,down,PTP
2024-04-13,23:36:00,ping,NET.S*37,up,Setor
2024-04-13,23:36:00,ping,PTP EDILEIA/DEPOSITO,up,PTP
2024-04-13,23:38:00,ping,NET.S*02,up,Setor
2024-04-13,23:38:00,ping,NET.S*161,down,Setor
2024-04-13,23:38:00,ping,PTP EDILEIA/FRADE,down,PTP
2024-04-13,23:38:00,ping,NET.S*165,down,Setor
2024-04-13,23:39:00,ping,NET.S*37,down,Setor
2024-04-13,23:39:00,ping,PTP EDILEIA/DEPOSITO,down,PTP
2024-04-13,23:39:00,ping,NET.S*03,down,Setor
2024-04-13,23:39:00,ping,NET.S*142,down,Setor
2024-04-13,23:39:00,ping,NET.S*150,down,Setor
2024-04-13,23:39:00,ping,NET.S*02,down,Setor
2024-04-13,23:39:00,ping,NET.S*14,down,Setor
2024-04-13,23:39:00,ping,PTP DEPOSITO/EDILEIA,down,PTP
2024-04-13,23:40:00,ping,PTP EDILEIA/FRADE,up,PTP
2024-04-13,23:40:00,ping,NET.S*37,up,Setor
2024-04-13,23:40:00,ping,NET.S*161,up,Setor
2024-04-13,23:40:00,ping,PTP EDILEIA/DEPOSITO,up,PTP
2024-04-13,23:40:00,ping,NET.S*165,up,Setor
2024-04-13,23:40:00,ping,NET.S*03,up,Setor
2024-04-13,23:40:00,ping,NET.S*142,up,Setor
2024-04-13,23:40:00,ping,NET.S*150,up,Setor
2024-04-13,23:40:00,ping,NET.S*02,up,Setor
2024-04-13,23:40:00,ping,PTP DEPOSITO/EDILEIA,up,PTP
2024-04-14,09:06:00,ping,NET.S*14,up,Setor
2024-04-14,09:46:00,ping,ANDRE TRAJANO DA SILVA * CONTRATO 22573 *,down,Clientes PF
2024-04-14,13:53:00,ping,ANDRE TRAJANO DA SILVA * CONTRATO 22573 *,up,Clientes PF
2024-04-14,13:54:00,ping,APM DO CEMEB DA ESCOLA DO FUTURO-ETI-PROFESSOR IRANY TOLEDO DE MORAES,down,Escolas
2024-04-14,15:18:00,ping,APM DO CEMEB DA ESCOLA DO FUTURO-ETI-PROFESSOR IRANY TOLEDO DE MORAES,up,Escolas
2024-04-14,15:19:00,ping,NET.S*60,down,Setor
2024-04-15,04:59:00,ping,NET.S*60,up,Setor
2024-04-15,05:58:00,ping,ANDRE TRAJANO DA SILVA * CONTRATO 22573 *,down,Clientes PF
2024-04-15,05:59:00,ping,APM DO CEMEB DONA MARIA RONCAGLI MICHELOTTI,down,Escolas
2024-04-15,06:56:00,ping,APM DO CEMEB DONA MARIA RONCAGLI MICHELOTTI,up,Escolas
2024-04-15,06:57:00,ping,APM DO CEMEB VEREADOR ROBERVAL LUIZ MENDES DA SILVA,down,Escolas
2024-04-15,07:57:00,ping,APM DO CEMEB VEREADOR ROBERVAL LUIZ MENDES DA SILVA,up,Escolas
2024-04-15,07:57:00,ping,APM DO CEMEB ASSOCIAÇÂO DE PAIS E MESTRE DO CEMEB MONTEIRO LOBATO,down,Escolas
2024-04-15,09:16:00,ping,APM DO CEMEB ASSOCIAÇÂO DE PAIS E MESTRE DO CEMEB MONTEIRO LOBATO,up,Escolas
2024-04-15,09:16:00,ping,PTP ALTODOSABIA/SANTAROSA,down,PTP
2024-04-15,09:16:00,ping,NET.S*145-não logar mais  ninguem,down,Setor
2024-04-15,09:16:00,ping,NET.S*144,down,Setor
2024-04-15,09:16:00,ping,APM DO CEMEB MARIA JOSÉ DE FARIA BIAGIONI,down,Escolas
2024-04-15,09:16:00,ping,APM DO CEMEB PROFESSORA ROSANA MINAMI ANDRADE,down,Escolas
2024-04-15,09:16:00,ping,SECRETARIA DE SEGURANCA  GUARDA CIVIL AMADOR BUENO * Contrato 22455 *,down,Clientes PF
2024-04-15,09:16:00,ping,NET.S*168,down,Setor
2024-04-15,09:16:00,ping,PTP ALTODOSABIA/SANTAROSA,up,PTP
2024-04-15,09:16:00,ping,NET.S*145-não logar mais  ninguem,up,Setor
2024-04-15,09:16:00,ping,NET.S*144,up,Setor
2024-04-15,09:17:00,ping,NET.S*168,up,Setor
2024-04-15,09:17:00,ping,APM DO CEMEB PROFESSORA ROSANA MINAMI ANDRADE,up,Escolas
2024-04-15,09:17:00,ping,APM DO CEMEB MARIA JOSÉ DE FARIA BIAGIONI,up,Escolas
2024-04-15,10:36:00,ping,SECRETARIA DE SEGURANCA  GUARDA CIVIL AMADOR BUENO * Contrato 22455 *,up,Clientes PF
2024-04-15,10:36:00,ping,NET.S*02,down,Setor
2024-04-15,10:36:00,ping,NET.S*03,down,Setor
2024-04-15,10:36:00,ping,NET.S*14,down,Setor
2024-04-15,10:36:00,ping,NET.S*161,down,Setor
2024-04-15,10:36:00,ping,PTP DEPOSITO/EDILEIA,down,PTP
2024-04-15,10:36:00,ping,PTP EDILEIA/FRADE,down,PTP
2024-04-15,10:36:00,ping,NET.S*37,down,Setor
2024-04-15,10:36:00,ping,NET.S*165,down,Setor
2024-04-15,10:36:00,ping,PTP EDILEIA/DEPOSITO,down,PTP
2024-04-15,10:36:00,ping,NET.S*150,down,Setor
2024-04-15,10:36:00,ping,NET.S*37,up,Setor
2024-04-15,10:36:00,ping,PTP EDILEIA/FRADE,up,PTP
2024-04-15,10:36:00,ping,PTP EDILEIA/DEPOSITO,up,PTP
2024-04-15,10:36:00,ping,NET.S*165,up,Setor
2024-04-15,10:36:00,ping,NET.S*150,up,Setor
2024-04-15,10:36:00,ping,NET.S*03,up,Setor
2024-04-15,10:36:00,ping,NET.S*02,up,Setor
2024-04-15,10:36:00,ping,NET.S*14,up,Setor
2024-04-15,10:36:00,ping,PTP DEPOSITO/EDILEIA,up,PTP
2024-04-15,12:04:00,ping,NET.S*161,up,Setor
2024-04-15,12:04:00,ping,NET.S*151,down,Setor
2024-04-15,12:04:00,ping,NET.S*164,down,Setor
2024-04-15,12:04:00,ping,NET.S*164,up,Setor
2024-04-15,12:18:00,ping,NET.S*151,up,Setor
2024-04-15,12:19:00,ping,APM DO CEMEB ASSOCIAÇÂO DE PAIS E MESTRE DO CEMEB MONTEIRO LOBATO,down,Escolas
2024-04-15,12:37:00,ping,APM DO CEMEB ASSOCIAÇÂO DE PAIS E MESTRE DO CEMEB MONTEIRO LOBATO,up,Escolas
2024-04-15,12:37:00,ping,NET.S*51,down,Setor
2024-04-15,12:37:00,ping,NET.S*22,down,Setor
2024-04-15,12:37:00,ping,PTP CHACARA/SERRALHEIRO,down,PTP
2024-04-15,12:38:00,ping,SWITCH GERAL CHACARA,down,Estrutura
2024-04-15,12:38:00,ping,NET.S*16,down,Setor
2024-04-15,12:38:00,ping,SWITCH GERAL CHACARA,up,Estrutura
2024-04-15,12:38:00,ping,NET.S*22,up,Setor
2024-04-15,12:38:00,ping,NET.S*51,up,Setor
2024-04-15,12:38:00,ping,PTP CHACARA/SERRALHEIRO,up,PTP
2024-04-15,13:58:00,ping,NET.S*16,up,Setor
2024-04-15,13:58:00,ping,NET.S*30,down,Setor
2024-04-15,13:58:00,ping,NET.S*62,down,Setor
2024-04-15,13:58:00,ping,PTP CEREJAS/SARA,down,PTP
2024-04-15,13:58:00,ping,NET.S*26,down,Setor
2024-04-15,13:59:00,ping,NET.S*119,down,Setor
2024-04-15,13:59:00,ping,PTP SARA/CEREJAS,down,PTP
2024-04-15,13:59:00,ping,NET.S*62,up,Setor
2024-04-15,13:59:00,ping,PTP CEREJAS/SARA,up,PTP
2024-04-15,13:59:00,ping,NET.S*20,down,Setor
2024-04-15,13:59:00,ping,NET.S*30,up,Setor
2024-04-15,13:59:00,ping,NET.S*26,up,Setor
2024-04-15,13:59:00,ping,NET.S*119,up,Setor
2024-04-15,13:59:00,ping,PTP SARA/CEREJAS,up,PTP
2024-04-15,14:12:00,ping,NET.S*20,up,Setor
2024-04-15,14:12:00,ping,APM DO CEMEB DONA MARIA RONCAGLI MICHELOTTI,down,Escolas
2024-04-15,14:12:00,ping,PTP CEREJAS/BRUNO,down,PTP
2024-04-15,14:12:00,ping,PTP SARA/CEREJAS,down,PTP
2024-04-15,14:12:00,ping,NET.S*20,down,Setor
2024-04-15,14:12:00,ping,NET.S*112,down,Setor
2024-04-15,14:12:00,ping,NET.S*30,down,Setor
2024-04-15,14:12:00,ping,NET.S*62,down,Setor
2024-04-15,14:12:00,ping,PTP CEREJAS/SARA,down,PTP
2024-04-15,14:12:00,ping,NET.S*07,down,Setor
2024-04-15,14:12:00,ping,NET.S*26,down,Setor
2024-04-15,14:13:00,ping,NET.S*78,down,Setor
2024-04-15,14:13:00,ping,NET.S*119,down,Setor
2024-04-15,14:13:00,ping,NET.S*155,down,Setor
2024-04-15,14:13:00,ping,NET.S*78,up,Setor
2024-04-15,14:13:00,ping,NET.S*155,up,Setor
2024-04-15,14:13:00,ping,NET.S*119,up,Setor
2024-04-15,14:13:00,ping,PTP CEREJAS/BRUNO,up,PTP
2024-04-15,14:13:00,ping,PTP SARA/CEREJAS,up,PTP
2024-04-15,14:13:00,ping,NET.S*20,up,Setor
2024-04-15,14:13:00,ping,NET.S*112,up,Setor
2024-04-15,14:13:00,ping,NET.S*30,up,Setor
2024-04-15,14:13:00,ping,NET.S*62,up,Setor
2024-04-15,14:13:00,ping,PTP CEREJAS/SARA,up,PTP
2024-04-15,14:13:00,ping,NET.S*07,up,Setor
2024-04-15,14:14:00,ping,NET.S*26,up,Setor
2024-04-15,14:23:00,ping,APM DO CEMEB DONA MARIA RONCAGLI MICHELOTTI,up,Escolas
2024-04-15,14:23:00,ping,APM DO CEMEB DONA MARIA RONCAGLI MICHELOTTI,down,Escolas
2024-04-15,14:23:00,ping,NET.S*26,down,Setor
2024-04-15,14:23:00,ping,NET.S*78,down,Setor
2024-04-15,14:23:00,ping,NET.S*119,down,Setor
2024-04-15,14:23:00,ping,NET.S*155,down,Setor
2024-04-15,14:23:00,ping,PTP CEREJAS/BRUNO,down,PTP
2024-04-15,14:23:00,ping,PTP SARA/CEREJAS,down,PTP
2024-04-15,14:23:00,ping,NET.S*20,down,Setor
2024-04-15,14:23:00,ping,NET.S*112,down,Setor
2024-04-15,14:23:00,ping,NET.S*30,down,Setor
2024-04-15,14:23:00,ping,NET.S*62,down,Setor
2024-04-15,14:23:00,ping,PTP CEREJAS/SARA,down,PTP
2024-04-15,14:23:00,ping,NET.S*07,down,Setor
2024-04-15,14:23:00,ping,PTP CEREJAS/BRUNO,up,PTP
2024-04-15,14:23:00,ping,NET.S*20,up,Setor
2024-04-15,14:23:00,ping,PTP SARA/CEREJAS,up,PTP
2024-04-15,14:23:00,ping,NET.S*112,up,Setor
2024-04-15,14:23:00,ping,NET.S*30,up,Setor
2024-04-15,14:23:00,ping,NET.S*62,up,Setor
2024-04-15,14:25:00,ping,PTP CEREJAS/SARA,up,PTP
2024-04-15,14:39:00,ping,APM DO CEMEB DONA MARIA RONCAGLI MICHELOTTI,up,Escolas
2024-04-15,16:22:00,ping,APM DO CEMEB PROFESSORA MARIA ZIBINA DE CARVALHO,down,Escolas
2024-04-15,16:22:00,ping,APM DO CEMEB DONA MARIA RONCAGLI MICHELOTTI,down,Escolas
2024-04-15,16:30:00,ping,APM DO CEMEB DONA MARIA RONCAGLI MICHELOTTI,up,Escolas
2024-04-15,16:30:00,ping,APM DO CEMEB ASSOCIAÇÂO DE PAIS E MESTRE DO CEMEB MONTEIRO LOBATO,down,Escolas
2024-04-15,17:45:00,ping,APM DO CEMEB ASSOCIAÇÂO DE PAIS E MESTRE DO CEMEB MONTEIRO LOBATO,up,Escolas
2024-04-15,21:20:00,ping,ANDRE TRAJANO DA SILVA * CONTRATO 22573 *,up,Clientes PF
2024-04-15,21:20:00,ping,NET.S*119,down,Setor
2024-04-16,04:30:00,ping,NET.S*119,up,Setor
2024-04-16,06:06:00,ping,ANDRE TRAJANO DA SILVA * CONTRATO 22573 *,down,Clientes PF
2024-04-16,06:07:00,ping,APM DO CEMEB ASSOCIAÇÂO DE PAIS E MESTRE DO CEMEB MONTEIRO LOBATO,down,Escolas
2024-04-16,06:46:00,ping,APM DO CEMEB ASSOCIAÇÂO DE PAIS E MESTRE DO CEMEB MONTEIRO LOBATO,up,Escolas
2024-04-16,06:46:00,ping,APM DO CEMEB DONA MARIA RONCAGLI MICHELOTTI,down,Escolas
2024-04-16,07:27:00,ping,APM DO CEMEB DONA MARIA RONCAGLI MICHELOTTI,up,Escolas
2024-04-16,07:32:00,ping,APM DO CEMEB PROFESSORA MARIA ZIBINA DE CARVALHO,up,Escolas
